Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
156,457,609,394,640,548,640,377,731,565,731,377,761,565,761,445,883,514,883,428,1097,531,1066,428,1158,548,1158,761,1
157,426,609,394,640,548,640,377,731,565,731,360,792,565,761,445,883,514,883,428,1066,531,975,428,1127,531,1127,761,1
158,426,579,394,609,548,609,377,700,565,700,342,731,582,731,428,853,514,853,428,1066,531,975,428,1158,531,1127,731,1
159,365,548,394,579,548,579,360,670,582,640,308,670,617,670,445,822,514,822,428,975,531,1066,445,1127,531,1127,700,1
160,365,518,394,548,548,518,342,640,582,609,274,609,651,579,445,792,514,792,428,975,531,975,445,1127,531,1097,670,1
161,335,487,394,518,548,518,342,609,600,579,291,579,651,548,428,792,514,761,428,975,514,975,428,1097,531,1097,640,0
162,304,487,394,487,548,487,360,579,582,579,325,548,634,548,445,731,514,731,428,914,514,883,445,1066,514,1036,609,0
163,274,457,394,487,565,487,360,548,600,640,342,579,600,640,445,731,514,731,428,914,514,914,445,1036,514,1036,609,0
164,274,457,377,487,548,457,377,609,565,609,377,609,582,609,445,700,514,700,445,883,514,883,445,1036,514,1036,609,0
165,274,426,377,457,548,457,377,579,565,609,377,640,565,640,428,700,514,731,445,883,514,883,445,1036,514,1036,579,0
166,274,426,377,457,548,457,377,548,565,579,360,640,565,640,428,700,514,700,445,914,514,883,445,1066,514,1036,579,0
167,274,426,377,457,548,457,377,548,565,548,325,640,600,609,445,731,514,731,445,914,531,914,462,1066,514,1036,579,0
168,274,457,394,457,548,457,360,548,582,548,308,609,634,579,445,731,514,731,445,914,531,944,462,1036,531,1066,609,0
169,304,457,394,487,548,457,360,579,600,579,274,609,668,579,445,731,514,731,445,914,531,914,531,1066,462,1066,609,0
170,304,487,394,487,548,487,342,579,600,579,257,579,668,548,445,761,531,761,531,944,445,914,531,1097,462,1066,640,0
171,335,518,394,518,548,487,342,609,600,579,274,579,651,579,445,761,531,792,445,944,445,975,445,1097,462,1097,640,0
172,365,518,394,548,548,518,360,640,582,609,308,609,634,609,445,792,531,792,445,975,531,975,462,1127,531,1097,670,1
173,396,548,394,579,565,579,377,670,600,640,342,640,600,640,445,822,531,822,531,975,445,1005,531,1127,445,1127,700,1
174,426,579,411,609,565,609,377,670,582,700,360,700,582,700,445,853,531,853,445,975,548,944,462,1127,531,1127,731,1
175,457,609,394,640,548,609,394,731,582,731,360,761,582,761,445,853,531,853,445,975,548,944,462,1127,531,1127,731,1
176,457,609,394,640,565,640,394,731,582,731,360,792,582,761,445,883,531,883,445,975,531,944,462,1127,531,1097,761,1
177,457,609,394,640,565,640,377,761,582,731,360,792,600,792,445,853,514,853,445,1005,531,1005,462,1127,531,1127,761,1
178,457,609,394,640,565,609,377,731,582,731,342,792,617,761,445,853,514,853,445,1005,531,1005,445,1127,531,1127,731,1
179,426,579,394,609,565,609,377,731,600,731,342,761,634,761,445,853,531,853,445,975,548,975,445,1127,531,1127,731,1
180,396,579,394,609,565,609,377,700,600,700,325,761,651,731,445,822,531,822,445,944,548,944,462,1127,531,1127,731,1
181,396,548,394,579,565,579,360,700,600,700,308,731,651,700,445,822,514,822,445,975,531,975,462,1127,531,1127,700,1
