Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
243,457,411,518,634,518,360,670,702,640,257,700,788,640,480,883,582,853,480,1097,600,1066,497,1249,600,1280,700,0
213,396,411,487,634,487,360,640,702,609,240,640,805,609,480,853,582,853,480,1127,600,1097,480,1249,600,1249,670,1
182,396,411,457,634,457,360,609,702,579,240,579,788,548,480,792,582,792,462,1158,600,1066,548,1280,600,1249,640,1
152,365,411,426,634,426,360,579,702,548,240,548,805,518,480,792,600,792,462,1066,600,1036,445,1219,600,1219,609,1
152,365,411,426,634,426,360,579,702,548,257,518,788,487,480,792,600,761,480,1005,600,1005,462,1219,600,1188,609,1
152,365,411,426,634,426,360,548,702,548,274,487,771,487,480,792,600,761,480,1036,600,975,480,1188,600,1219,609,1
152,365,411,426,634,426,360,548,685,548,291,487,754,487,480,792,600,761,480,1036,600,1005,480,1188,600,1219,609,1
152,365,411,426,634,426,377,579,685,579,308,518,754,518,480,792,600,761,462,1097,600,1005,531,1249,600,1219,609,1
152,396,411,457,634,426,394,609,685,579,342,548,737,548,480,822,600,792,480,1066,600,1036,480,1219,600,1219,640,1
213,396,411,457,634,457,394,640,668,609,360,579,720,579,462,822,600,822,480,1188,600,1036,480,1249,600,1249,640,1
243,426,428,518,634,487,411,670,651,640,377,640,702,640,480,853,600,853,480,1219,617,1188,480,1249,600,1280,670,1
274,457,411,548,651,548,411,700,702,670,394,700,668,670,497,883,600,883,462,944,600,1066,480,1249,617,1280,700,0
304,518,411,579,651,579,377,761,702,731,394,761,668,731,497,914,600,914,462,1005,617,1097,497,1280,600,1280,731,0
335,548,411,609,651,609,411,761,685,792,394,792,685,792,497,944,600,944,480,1249,600,1127,480,1280,600,1280,761,0
365,548,411,609,651,609,394,792,685,792,394,822,702,822,480,944,582,944,480,1097,617,1066,497,1280,600,1280,761,0
335,518,411,609,651,609,394,761,668,761,360,853,702,822,480,914,582,914,497,1249,617,1127,497,1280,600,1280,761,0
304,487,411,579,651,548,394,731,668,731,342,822,720,792,480,883,582,883,497,1249,617,1097,497,1280,600,1280,731,0
274,457,411,518,651,518,377,700,685,700,308,761,737,731,462,883,582,853,480,1219,600,1066,497,1280,600,1280,700,0
213,426,411,487,634,487,360,640,685,640,274,700,771,670,480,853,582,822,462,1066,600,1066,480,1249,600,1249,670,1
213,396,411,457,634,457,360,609,702,609,240,640,805,609,480,822,582,822,462,1066,617,1097,462,1249,617,1249,640,1
182,365,411,426,634,426,342,579,720,579,222,609,822,548,480,792,600,761,462,1066,600,1036,462,1219,600,1249,609,1
152,365,411,426,634,426,325,579,720,548,222,548,822,518,462,792,582,761,462,1066,600,1066,445,1219,600,1188,609,1
152,335,411,426,634,426,342,548,720,548,222,518,822,487,480,792,600,792,445,1097,600,975,462,1219,600,1188,609,1
152,335,411,426,634,426,342,548,720,518,222,518,805,487,462,761,582,761,462,1066,600,1005,480,1188,600,1188,609,1
152,365,411,426,634,426,342,548,702,548,240,518,788,487,462,822,582,792,462,1097,617,1097,462,1219,600,1188,609,1
182,365,411,426,634,426,360,579,685,579,274,518,771,518,480,822,582,792,462,1066,617,1097,462,1219,582,1219,609,1
213,396,411,457,634,457,360,609,668,579,291,518,754,518,462,822,600,792,462,1097,600,1066,462,1249,565,1249,640,1
213,426,411,487,634,487,377,640,668,609,308,548,737,579,480,853,600,822,462,1188,600,1158,531,1280,548,1249,670,1
274,457,411,518,634,518,377,670,668,640,342,609,720,609,480,883,600,853,480,1219,600,1188,514,1249,548,1280,700,0
304,487,411,548,634,548,394,700,651,700,360,670,702,670,480,883,582,883,462,975,565,1280,480,1249,582,1280,731,0
335,518,411,579,634,579,411,731,685,731,360,700,702,731,462,944,582,944,462,1280,582,1280,480,1280,582,1280,761,0
335,518,411,609,634,609,377,761,685,731,360,761,702,761,480,944,582,914,462,1005,600,1097,480,1280,582,1280,761,0
335,518,411,609,634,609,394,761,685,761,360,792,685,792,480,944,582,944,480,1097,565,1249,497,1249,582,1249,761,0
