Feature1,Feature2,Pearson_Corr,Pearson_p-value,Spearman_Corr,Spearman_p-value,Kendall_Corr,Kendall_p-value
RShoulder_X,LWrist_Y,0.5973054101823224,5.682558672807572e-281,0.6307648562002612,1.1e-322,0.4517800222576983,1.119096934995706e-276
RShoulder_X,RHip_X,0.952145682737878,0.0,0.9601422296951649,0.0,0.8571322333402155,0.0
RShoulder_X,RHip_Y,0.5922725286569195,4.060252264628233e-275,0.5956983550657513,4.315952197557015e-279,0.43044185035765287,6.0002975512032145e-252
RShoulder_X,LHip_X,0.1875198917373756,1.9437199116254178e-24,0.09003406037108201,1.1467103820331814e-06,-0.0222007161151441,0.08209749404420884
RShoulder_X,LHip_Y,0.6342289890527268,0.0,0.6348014270693187,0.0,0.46283241278906123,4.734466736695695e-291
RShoulder_X,RKnee_X,0.9559373437870033,0.0,0.9613198087221374,0.0,0.8594612805317956,0.0
RShoulder_X,RKnee_Y,0.48271215284004615,9.317766274137539e-170,0.4874825038306429,1.3903562173643304e-173,0.3530963995944691,2.5995194445299618e-169
RShoulder_X,LKnee_X,0.232960507152332,3.675530869097251e-37,0.14823119057424788,9.187960311712265e-16,0.023507186359833857,0.06567077719950744
RShoulder_X,LKnee_Y,0.45956423374527866,4.984843453721939e-152,0.4731897534715423,2.678646324599619e-162,0.3416071558591988,1.3709616657950921e-158
RShoulder_X,RAnkle_X,0.9322395639314136,0.0,0.9378548497385709,0.0,0.8129498242349915,0.0
RShoulder_X,RAnkle_Y,0.44819673594624526,8.234649417802613e-144,0.4643683962343333,1.348194323536667e-155,0.3280638544465346,2.2396884307247407e-143
RShoulder_X,LAnkle_X,0.14203582320993083,1.3842460173123734e-14,0.06066901166594549,0.0010589986386916877,-0.01588953747881818,0.21363814218152022
RShoulder_X,LAnkle_Y,0.37209947397976945,3.0936655603046497e-96,0.3859742653856046,5.223822629167071e-104,0.26769322629884507,2.7871049489539266e-96
RShoulder_X,Chest,0.6766401740610346,0.0,0.710989589802371,0.0,0.516997893128007,0.0
RShoulder_Y,LShoulder_X,0.42732707376818924,1.62976758418712e-129,0.3521833592861077,9.985858916725569e-86,0.23867762496282777,1.9449612080146513e-78
RShoulder_Y,LShoulder_Y,0.9949386998357033,0.0,0.98937119843586,0.0,0.9442028091624717,0.0
RShoulder_Y,RElbow_X,0.6619509302030924,0.0,0.7579501621396406,0.0,0.5497197919776065,0.0
RShoulder_Y,RElbow_Y,0.9736371134009615,0.0,0.9434437816462427,0.0,0.8332451746296291,0.0
RShoulder_Y,LElbow_X,0.5224997901994679,1.310442607062428e-203,0.43562746210014053,4.424355205544086e-135,0.31726809046702065,6.128188001588618e-138
RShoulder_Y,LElbow_Y,0.9645305610210797,0.0,0.9413534671336412,0.0,0.8346629892831373,0.0
RShoulder_Y,RWrist_X,0.6496768119798989,0.0,0.7386318528204925,0.0,0.5499395259434917,0.0
RShoulder_Y,RWrist_Y,0.9149154734767206,0.0,0.8146248373064184,0.0,0.6505616351188793,0.0
RShoulder_Y,LWrist_X,0.5641875693280842,2.8573278406296916e-244,0.5050778263303448,3.116781113563129e-188,0.3729939707879243,1.663809240808104e-191
RShoulder_Y,LWrist_Y,0.927287168562321,0.0,0.8250153902525175,0.0,0.6634503262149546,0.0
RShoulder_Y,RHip_X,0.6393127253810751,0.0,0.7197183578313303,0.0,0.5082926793411539,0.0
RShoulder_Y,RHip_Y,0.901401286177999,0.0,0.8994819496743182,0.0,0.7511857681373438,0.0
RShoulder_Y,LHip_X,0.162898186407244,9.335166937338635e-19,0.07183330413110761,0.00010516666167078404,0.05207397965001047,4.400834499678044e-05
RShoulder_Y,LHip_Y,0.905171685833027,0.0,0.9022422630229329,0.0,0.7513533566036696,0.0
RShoulder_Y,RKnee_X,0.6641511653802081,0.0,0.7389454813153212,0.0,0.5282937655569748,0.0
RShoulder_Y,RKnee_Y,0.5934337351996268,1.8495848176541587e-276,0.6761239048986851,0.0,0.5625897134504152,0.0
RShoulder_Y,LKnee_X,0.18353268041790644,1.8421516181037054e-23,0.11033714967059319,2.4055559340807388e-09,0.08006405077761684,3.3800805198849603e-10
RShoulder_Y,LKnee_Y,0.6278357132786572,7.98084e-319,0.7026814874009971,0.0,0.5864951647470384,0.0
RShoulder_Y,RAnkle_X,0.6718364938486212,0.0,0.7438724641482941,0.0,0.5453978835845319,0.0
RShoulder_Y,RAnkle_Y,0.5611589032070314,4.051315314259339e-241,0.6683329587614151,0.0,0.5066105550483155,0.0
RShoulder_Y,LAnkle_X,0.15775420675423849,1.1291428478795852e-17,0.05045571020151057,0.0064815843478163914,0.040726793327613434,0.0014071299320855591
RShoulder_Y,LAnkle_Y,0.46960795521650855,1.488870887558542e-159,0.5900256641494225,1.5444233834284554e-272,0.443831645587232,4.703724680939142e-262
RShoulder_Y,Chest,0.9791262813631633,0.0,0.9683590620954218,0.0,0.874739710976848,0.0
LShoulder_X,LShoulder_Y,0.45086545262238353,1.033389156449662e-145,0.3917106077511776,2.4704102830326468e-107,0.2638310357780806,1.8263405933242656e-95
LShoulder_X,RElbow_X,0.6313143035677685,2e-323,0.4366733610782885,8.577616189609853e-136,0.19030813679618697,8.34901443643343e-51
LShoulder_X,RElbow_Y,0.3775623374854201,2.9880079134288214e-99,0.31093021540665544,2.9611584846775107e-66,0.209095881387227,2.211503756117138e-60
LShoulder_X,LElbow_X,0.9131593805614162,0.0,0.9165035250145087,0.0,0.7892207958277909,0.0
LShoulder_X,LElbow_Y,0.3955181195239721,1.4087222068874619e-109,0.3382533959023899,8.17043967323483e-79,0.22837951482117735,1.1273279451655663e-71
LShoulder_X,RWrist_X,0.6769422339528253,0.0,0.47777487106609234,7.345236147899649e-166,0.24879467257600388,5.489876362588416e-86
LShoulder_X,RWrist_Y,0.36357913384563156,1.1970964229265968e-91,0.29834192771072965,6.731580891015348e-61,0.20493880691401223,3.5321385596895626e-58
LShoulder_X,LWrist_X,0.8641424434835473,0.0,0.821835599242571,0.0,0.6481413510379012,0.0
